tweet_id,airline_sentiment,airline,text,tweet_coord,tweet_created,tweet_location,user_timezone,predicted_sentiment,predicted_topic
5.70309156290367e+17,negative,Southwest,southwestair still wait hit one hour,"[0.0, 0.0]",2015-02-24 11:47:53 -0800,Today I'm in: Maryland ,Atlantic Time (Canada),negative,3
5.70307615189836e+17,negative,Southwest,southwestair hello hold extremely long time confirmation amp cant get boarding pas try numerous time,"[0.0, 0.0]",2015-02-24 11:41:45 -0800,"Boston, MA",Central Time (US & Canada),negative,3
5.70305647759266e+17,negative,Southwest,southwestair frustrate loooooong wait time speak live person get boarding pas flight tomorrow,"[0.0, 0.0]",2015-02-24 11:33:56 -0800,"Boston, MA",Central Time (US & Canada),negative,1
5.70305078470558e+17,negative,Southwest,southwestair still update text amp still response email fr sr feel like yr lose customer servicecare,"[0.0, 0.0]",2015-02-24 11:31:41 -0800,"St. Louis, MO",Central Time (US & Canada),negative,3
5.70304445734629e+17,negative,Southwest,southwestair agent one rude unhelpful prompt initial tweet easy fix,"[41.19758614, -73.76914167]",2015-02-24 11:29:10 -0800,Chappaqua NY,Eastern Time (US & Canada),negative,1
5.70304178314191e+17,negative,Southwest,southwestair wife group prev flight get bumped reason alone two kid least put group,"[41.1974934, -73.76920486]",2015-02-24 11:28:06 -0800,Chappaqua NY,Eastern Time (US & Canada),negative,4
5.70303797605618e+17,negative,Southwest,southwestair flight delayed hr im month pregnant amp suppose care mom whose surgery upset,"[0.0, 0.0]",2015-02-24 11:26:35 -0800,"Columbus, OH",Eastern Time (US & Canada),negative,1
5.70302337069265e+17,negative,Southwest,southwestair hold min far try book seat infant price increase meantime,"[0.0, 0.0]",2015-02-24 11:20:47 -0800,"Chicago, IL",Central Time (US & Canada),negative,3
5.7030179485064e+17,negative,Southwest,southwestair poor performance around paid express checkin week ago cant even leverage bullshit,"[0.0, 0.0]",2015-02-24 11:18:38 -0800,"Burlington, Ma",Central Time (US & Canada),negative,2
5.70296670568751e+17,negative,Southwest,southwestair logically would think check people board couldve drove home time ive wait,"[0.0, 0.0]",2015-02-24 10:58:16 -0800,"St.Peters, MO",Central Time (US & Canada),negative,3
5.70293661377962e+17,negative,Southwest,southwestair someone call back hold two time today min still havent gotten,"[0.0, 0.0]",2015-02-24 10:46:19 -0800,Orange County,Arizona,negative,3
5.70292976603296e+17,negative,Southwest,southwestair ground flight bc equipment problem amp rude wife travel alone wour young kid never,"[0.0, 0.0]",2015-02-24 10:43:35 -0800,Chappaqua NY,Eastern Time (US & Canada),negative,4
5.70289521113367e+17,negative,Southwest,southwestair oh look delayed flight additional half hour arrive officially five hour plan enrage faceenraged faceenraged faceenraged faceface steam noseface steam noseface steam nose,"[0.0, 0.0]",2015-02-24 10:29:51 -0800,"Boston, MA",Eastern Time (US & Canada),negative,2
5.7028896106471e+17,negative,Southwest,southwestair belt issue rough day bad part travel month old wait outside degree,"[0.0, 0.0]",2015-02-24 10:27:38 -0800,Fort Lauderdale,Eastern Time (US & Canada),negative,0
5.70288799860847e+17,negative,Southwest,southwestair move pm flight main concern luggage arrive told sw,"[0.0, 0.0]",2015-02-24 10:26:59 -0800,Fort Lauderdale,Eastern Time (US & Canada),negative,2
5.70287651137446e+17,negative,Southwest,southwestair get bag hour late flightr offer go pick taxi cost one way spent inconvenience,"[0.0, 0.0]",2015-02-24 10:22:26 -0800,"Boston, MA",Eastern Time (US & Canada),negative,2
5.70286359983886e+17,negative,Southwest,southwestair appreciate yall get gate issue figure grr plenty open gate yet sit wait tarmac,"[42.88502249, -85.52894527]",2015-02-24 10:17:18 -0800,"Grandville, Michigan",Eastern Time (US & Canada),negative,4
5.70285465145876e+17,negative,Southwest,southwestair minute hold wait ridiculous,"[0.0, 0.0]",2015-02-24 10:13:44 -0800,603 | 205,Eastern Time (US & Canada),negative,3
5.70285012882473e+17,negative,Southwest,southwestair u see message past hour,"[0.0, 0.0]",2015-02-24 10:11:57 -0800,"Boston, MA",Eastern Time (US & Canada),negative,3
5.70282347267895e+17,negative,Southwest,southwestair im upset luggage damage rude employee laguardia airport didnt help,"[0.0, 0.0]",2015-02-24 10:01:21 -0800,"Boston, MA",Eastern Time (US & Canada),negative,1
5.70280641503212e+17,negative,Southwest,southwestair flight matter hell next wont get luggage properly transfer facepalm smh,"[0.0, 0.0]",2015-02-24 09:54:34 -0800,"Boston, MA",Eastern Time (US & Canada),negative,2
5.7028055342295e+17,negative,Southwest,southwestair phone service suck,"[0.0, 0.0]",2015-02-24 09:54:13 -0800,"Newark, Ohio",Central Time (US & Canada),negative,3
5.7027867949167e+17,negative,Southwest,southwestair people exit row still suppose give verbal approval never ask flight im,"[0.0, 0.0]",2015-02-24 09:46:47 -0800,"Boston, MA",Central Time (US & Canada),negative,1
5.70277221916647e+17,negative,Southwest,southwestair arrival delayed nearly hour yeah entire day airport idea stress less vacation fail,"[0.0, 0.0]",2015-02-24 09:40:59 -0800,"Boston, MA",Eastern Time (US & Canada),negative,1
5.70277008216871e+17,negative,Southwest,southwestair oh company cause u lose entire day vacation cancun de board wait another plane,"[0.0, 0.0]",2015-02-24 09:40:08 -0800,"Boston, MA",Eastern Time (US & Canada),negative,1
5.70276440874324e+17,negative,Southwest,southwestair try change reservation hold minute cant onlinewas direct call help,"[0.0, 0.0]",2015-02-24 09:37:53 -0800,Eau Claire,Eastern Time (US & Canada),negative,3
5.70275218515726e+17,negative,Southwest,southwestair first call get drop wait min second ran time try late flightr way online,"[0.0, 0.0]",2015-02-24 09:33:01 -0800,Trapped in Baltimore.,Atlantic Time (Canada),negative,3
5.70274815736549e+17,negative,Southwest,southwestair yo im try make change reservation whenever select flight say unable price please help,"[0.0, 0.0]",2015-02-24 09:31:25 -0800,"Denver, CO",Mountain Time (US & Canada),negative,3
5.70274049118626e+17,negative,Southwest,southwestair let u plane bc toilet do even work go family vacay playa del carmen mexico neveragain,"[0.0, 0.0]",2015-02-24 09:28:23 -0800,Chicago,Central Time (US & Canada),negative,0
