tweet_id,airline_sentiment,airline,text,tweet_coord,tweet_created,tweet_location,user_timezone,predicted_sentiment,predicted_topic
5.70303399276761e+17,positive,Southwest,southwestair thank much completely make thing right,"[0.0, 0.0]",2015-02-24 11:25:00 -0800,"Boston, MA",Eastern Time (US & Canada),positive,0
5.70302532955845e+17,positive,Southwest,southwestair love always get best deal,"[0.0, 0.0]",2015-02-24 11:21:34 -0800,"Boston, MA",Central Time (US & Canada),positive,3
5.70299642887442e+17,positive,Southwest,southwestair thx make right help meagan fouty brancato fl dfw gate preboard wkids b group please please,"[41.19747574, -73.76926201]",2015-02-24 11:10:05 -0800,Chappaqua NY,Eastern Time (US & Canada),positive,4
5.70294002077061e+17,positive,Southwest,southwestair thanks southwest save trip sweetheart isnt go miss see altonbrownlive thanks yall sohappy,"[0.0, 0.0]",2015-02-24 10:47:40 -0800,lurking in a coffeehouse,Pacific Time (US & Canada),positive,1
5.70293527982301e+17,positive,Southwest,southwestair never mind move flight tomorrow thanks help,"[0.0, 0.0]",2015-02-24 10:45:47 -0800,"Boston, MA",Central Time (US & Canada),positive,1
5.70293100326863e+17,positive,Southwest,southwestair manage get sort phone good luck deal snow texas,"[0.0, 0.0]",2015-02-24 10:44:05 -0800,Eau Claire,Eastern Time (US & Canada),positive,5
5.7028908009069e+17,positive,Southwest,southwestair weather bc system outage hopefully everything go smoothly thank follow,"[0.0, 0.0]",2015-02-24 10:28:06 -0800,Fort Lauderdale,Eastern Time (US & Canada),positive,0
5.70288380384293e+17,positive,Southwest,southwestair use always fly southwest,"[0.0, 0.0]",2015-02-24 10:25:19 -0800,"Boston, MA",Eastern Time (US & Canada),positive,3
5.70284129138274e+17,positive,Southwest,southwestair thank awesome flight sweetheart get screw flyfrontier manage scramble get sw plane today,"[0.0, 0.0]",2015-02-24 10:08:26 -0800,lurking in a coffeehouse,Pacific Time (US & Canada),positive,1
5.70284111425892e+17,positive,Southwest,southwestair thanks much,"[0.0, 0.0]",2015-02-24 10:08:22 -0800,Chicago,Central Time (US & Canada),positive,1
